interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
420.00,480.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,2,5.49
420.00,480.00,e_r2pn_0_to_rp1,0,0,6,689277282,0,0,7,69.53
420.00,480.00,e_r2pn_0_to_rp1,0,0,10,881567590#0,4,4,11,45.12
420.00,480.00,e_r2pn_0_to_rp1,0,0,12,881567590#1,1,1,12,25.06
420.00,480.00,e_r2pn_1_to_rp1,0,0,3,1107701847.173,0,0,3,4.36
420.00,480.00,e_r2pn_1_to_rp1,0,0,12,881567590#1,1,1,12,25.06
420.00,480.00,e_plsr_to_rp1,0,0,13,22674672,0,0,13,67.08
420.00,480.00,e_plsr_to_rp1,0,0,13,591402342#0,0,0,12,79.34
420.00,480.00,e_plsr_to_rp1,0,0,13,591402342#1,0,0,11,50.96
420.00,480.00,e_plsr_to_rp1,1,0,12,689277290#0,0,0,11,110.47
420.00,480.00,e_plsr_to_rp1,0,0,11,689277290#1,0,0,10,39.68
420.00,480.00,e_grgn_to_rp1,0,0,5,34778584#0,0,0,4,63.01
420.00,480.00,e_grgn_to_rp1,0,0,4,34778584#1,0,0,4,3.38
480.00,540.00,e_r2ps_to_rp1,0,0,3,689277284#1,0,0,4,27.29
480.00,540.00,e_r2ps_to_rp1,0,0,4,689277284#2,0,0,4,6.35
480.00,540.00,e_r2pn_0_to_rp1,0,0,3,689277282,0,0,3,30.20
480.00,540.00,e_r2pn_0_to_rp1,0,0,7,881567590#0,1,1,7,14.04
480.00,540.00,e_r2pn_0_to_rp1,0,0,7,881567590#1,0,0,7,52.84
480.00,540.00,e_r2pn_1_to_rp1,0,0,3,1107701847.173,0,0,3,4.48
480.00,540.00,e_r2pn_1_to_rp1,0,0,7,881567590#1,0,0,7,52.84
480.00,540.00,e_plsr_to_rp1,0,0,2,22674672,0,0,3,11.39
480.00,540.00,e_plsr_to_rp1,0,0,4,591402342#0,0,0,6,55.47
480.00,540.00,e_plsr_to_rp1,0,0,6,591402342#1,0,0,8,38.04
480.00,540.00,e_plsr_to_rp1,0,0,9,689277290#0,0,0,11,47.95
480.00,540.00,e_plsr_to_rp1,0,0,11,689277290#1,0,0,12,16.85
480.00,540.00,e_grgn_to_rp1,0,0,6,34778584#0,0,0,4,57.03
480.00,540.00,e_grgn_to_rp1,0,0,3,34778584#1,0,0,3,2.49
540.00,600.00,e_r2ps_to_rp1,0,0,2,689277284#1,0,0,2,54.37
540.00,600.00,e_r2ps_to_rp1,0,0,2,689277284#2,0,0,1,42.23
540.00,600.00,e_r2pn_0_to_rp1,0,0,5,689277282,0,0,4,39.29
540.00,600.00,e_r2pn_0_to_rp1,0,0,8,881567590#0,2,2,8,36.30
540.00,600.00,e_r2pn_0_to_rp1,0,0,8,881567590#1,0,0,8,10.27
540.00,600.00,e_r2pn_1_to_rp1,0,0,5,1107701847.173,0,0,5,7.50
540.00,600.00,e_r2pn_1_to_rp1,0,0,8,881567590#1,0,0,8,10.27
540.00,600.00,e_plsr_to_rp1,0,0,8,22674672,0,0,8,36.54
540.00,600.00,e_plsr_to_rp1,0,0,8,591402342#0,0,0,8,30.54
540.00,600.00,e_plsr_to_rp1,0,0,8,591402342#1,0,0,7,19.37
540.00,600.00,e_plsr_to_rp1,0,0,7,689277290#0,0,0,6,49.84
540.00,600.00,e_plsr_to_rp1,0,0,6,689277290#1,0,0,5,17.97
