interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,110.94,0,10,689277288#2,0,0,110.94,11,52.00,50.19,513.49,1.64,0.12,451.82,47.03,10.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,188.04,0,25,881567591#0,3,3,94.02,25,44.22,30.17,757.73,2.39,0.29,533.61,28.43,101.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,184.92,0,25,881567591#1,2,2,92.46,23,42.33,19.24,476.98,2.49,0.30,331.67,17.45,49.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_1,0,235.43,1,23,881567591#2,1,1,117.72,24,46.78,7.89,187.17,2.33,0.28,138.84,6.05,27.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#1,0,0,133.33,0,67.06,100000.00,1020.00,0.00,0.00,1020.00,,1020.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#2,0,0,133.33,0,94.56,100000.00,60.00,0.00,0.00,60.00,,60.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_2,0,163.18,0,11,689277281#7,9,9,81.59,14,33.76,26.09,297.34,1.36,0.10,266.58,23.66,126.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,13,689277286#0,0,0,133.33,13,49.50,4.14,54.95,2.41,0.17,45.37,2.56,10.00
1800.00,1860.00,e_r2ps_to_ach1_mgp_2,0,102.14,0,13,689277286#1,0,0,102.14,15,47.18,26.50,362.00,2.42,0.17,295.98,24.38,20.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,46.05,13,0,814259719,10,10,23.03,4,11.50,239.95,2860.58,4.34,0.22,2209.66,234.03,2126.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,133.33,0,0,689277284#0,0,0,133.33,0,67.14,100000.00,660.00,0.00,0.00,660.00,,660.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,,0,0,689277288#0,0,0,,0,,,0.00,,,,,
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,2.11,0,0,689277288#1,0,0,2.11,1,0.74,70.91,10.69,1.26,0.09,9.74,66.70,0.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,60.66,0,2,689277288#2,0,0,60.66,9,28.52,46.99,280.75,1.75,0.13,243.94,43.16,2.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,184.00,0,24,881567591#0,8,8,92.00,25,43.40,31.08,741.45,2.32,0.28,530.23,29.75,115.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,187.20,0,27,881567591#1,1,1,93.60,27,43.01,18.08,482.88,2.65,0.32,329.02,16.49,58.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_1,0,237.95,0,27,881567591#2,2,2,118.97,28,46.28,6.90,189.17,2.65,0.32,134.24,5.25,34.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#1,0,0,133.33,0,67.06,100000.00,1020.00,0.00,0.00,1020.00,,1020.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#2,0,0,133.33,1,91.35,89.25,60.00,0.08,0.00,59.51,1013.77,57.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_2,0,157.05,0,17,689277281#7,6,6,78.52,16,31.16,17.09,286.17,2.07,0.15,241.44,15.28,76.68
1860.00,1920.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,15,689277286#0,0,0,133.33,16,47.26,3.18,49.41,3.14,0.23,37.99,1.95,8.00
1860.00,1920.00,e_r2ps_to_ach1_mgp_2,1,96.15,0,16,689277286#1,0,0,96.15,14,44.01,22.21,340.78,2.88,0.21,263.50,20.05,28.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,49.60,11,0,814259719,4,4,24.80,11,12.37,350.29,3081.06,2.97,0.15,2606.09,345.20,2483.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,108.37,0,7,689277284#0,0,0,108.37,14,53.06,52.62,528.23,1.64,0.08,482.06,52.77,387.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,20.70,0,13,689277288#0,0,0,20.70,12,8.94,3.29,41.15,11.59,0.83,7.93,2.90,0.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,11.64,0,11,689277288#1,0,0,11.64,7,5.50,6.73,58.92,13.28,0.96,5.63,6.36,0.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,11.00,0,7,689277288#2,0,0,11.00,4,4.89,8.53,50.91,9.63,0.69,16.68,6.69,1.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,148.31,0,28,881567591#0,8,8,74.15,26,34.83,21.32,597.62,3.38,0.41,360.72,19.55,85.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,175.31,0,25,881567591#1,3,3,87.65,24,40.26,18.57,452.18,2.58,0.31,309.51,16.82,56.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_1,0,246.64,0,24,881567591#2,0,0,123.32,22,49.10,8.54,196.08,2.14,0.26,149.06,6.58,45.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_2,0,128.90,0,1,689277284#1,0,0,128.90,4,63.16,346.13,963.19,0.37,0.02,944.78,348.42,645.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,4,689277284#2,0,0,133.33,3,66.80,14.46,48.05,0.47,0.02,45.92,8.93,30.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_2,0,126.44,0,23,689277281#7,14,14,63.22,26,27.32,9.19,230.40,3.85,0.28,165.07,8.39,33.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_2,0,124.49,0,25,689277286#0,0,0,124.49,25,29.70,1.48,37.20,6.74,0.49,19.49,0.76,0.00
1920.00,1980.00,e_r2ps_to_ach1_mgp_2,1,68.13,0,25,689277286#1,0,0,68.13,25,31.46,9.21,241.48,6.95,0.50,115.57,8.42,0.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,38.17,17,0,814259719,6,6,19.09,33,9.51,130.73,2371.25,7.96,0.41,1390.05,130.34,679.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,58.07,0,30,689277284#0,0,0,58.07,28,27.30,9.61,283.03,8.98,0.46,144.09,9.01,0.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,55.57,0,25,689277288#0,0,0,55.57,24,24.17,4.53,110.45,8.42,0.61,39.55,3.82,0.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,74.47,0,21,689277288#1,0,0,74.47,17,35.20,19.60,376.93,4.56,0.33,249.44,18.24,0.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,98.75,0,17,689277288#2,0,0,98.75,11,46.17,34.71,457.04,2.37,0.17,376.87,31.89,2.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,173.17,0,26,881567591#0,6,6,86.58,31,40.13,24.57,697.79,2.94,0.35,454.46,23.17,51.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,178.57,0,32,881567591#1,0,0,89.28,31,40.56,14.67,460.59,3.27,0.39,283.79,13.26,11.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_1,0,230.22,0,31,881567591#2,0,0,115.11,33,43.69,5.72,183.03,3.19,0.38,121.60,4.34,14.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_2,0,131.59,0,3,689277284#1,0,0,131.59,0,65.14,747.45,983.28,0.17,0.01,974.20,718.60,792.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,0,689277284#2,0,0,133.33,0,94.53,10871.72,60.00,0.00,0.00,60.00,2947.73,60.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_2,0,149.93,0,20,689277281#7,6,6,74.96,19,32.23,14.02,273.20,2.52,0.18,223.08,12.58,63.94
1980.00,2040.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,15,689277286#0,0,0,133.33,15,45.55,3.38,50.26,2.95,0.21,39.79,1.79,3.00
1980.00,2040.00,e_r2ps_to_ach1_mgp_2,0,100.29,0,15,689277286#1,0,0,100.29,15,46.08,24.54,355.45,2.61,0.19,287.93,22.55,7.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,32.68,13,0,814259719,7,7,16.34,7,8.13,132.52,2030.15,7.85,0.40,1204.29,129.02,583.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,128.08,0,5,689277284#0,0,0,128.08,1,63.65,239.44,624.31,0.36,0.02,612.42,225.59,537.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,8.25,0,0,689277288#0,0,0,8.25,2,3.34,14.70,16.40,2.59,0.19,13.29,11.91,0.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,81.76,0,5,689277288#1,0,0,81.76,11,38.82,47.09,413.85,1.90,0.14,352.89,44.59,0.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,111.40,0,11,689277288#2,0,0,111.40,10,51.72,48.01,515.62,1.71,0.12,447.73,44.31,29.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,190.13,0,28,881567591#0,5,5,95.06,25,44.73,29.35,766.13,2.46,0.30,543.82,27.70,174.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,165.40,0,24,881567591#1,3,3,82.70,24,38.49,17.60,426.63,2.73,0.33,288.29,16.32,96.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_1,0,222.02,0,23,881567591#2,0,0,111.01,23,46.96,7.55,176.50,2.42,0.29,130.52,6.36,62.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_2,0,131.99,0,1,689277284#1,0,0,131.99,3,65.23,643.25,986.32,0.20,0.01,976.15,661.89,754.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,3,689277284#2,0,0,133.33,3,77.64,17.27,51.78,0.40,0.02,49.81,15.00,39.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_2,0,127.74,0,23,689277281#7,15,15,63.87,22,26.79,10.32,232.77,3.43,0.25,172.87,9.27,29.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,21,689277286#0,0,0,133.33,21,38.55,2.09,43.55,4.77,0.34,28.73,1.08,0.00
2040.00,2100.00,e_r2ps_to_ach1_mgp_2,0,87.76,0,21,689277286#1,0,0,87.76,17,40.54,16.54,311.04,3.87,0.28,221.44,14.95,17.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,38.15,13,0,814259719,6,6,19.08,19,9.47,188.14,2369.81,5.53,0.28,1679.02,185.51,923.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,103.83,0,12,689277284#0,0,0,103.83,11,49.63,42.13,506.13,2.05,0.11,450.93,40.22,78.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,14.07,0,8,689277288#0,0,0,14.07,8,6.06,3.50,27.96,10.91,0.79,5.50,3.07,0.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,29.80,0,8,689277288#1,0,0,29.80,9,13.56,18.55,150.81,4.82,0.35,97.33,15.85,21.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,110.04,0,8,689277288#2,0,0,110.04,11,52.77,53.88,509.31,1.52,0.11,448.05,51.02,40.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,192.13,0,26,881567591#0,3,3,96.06,23,45.10,31.81,774.19,2.27,0.27,556.49,29.75,151.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,186.63,0,23,881567591#1,3,3,93.32,23,42.53,20.79,481.39,2.31,0.28,347.93,18.75,37.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_1,0,255.87,0,24,881567591#2,0,0,127.94,23,48.15,8.51,203.42,2.14,0.26,155.89,6.45,33.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_2,0,129.41,0,3,689277284#1,0,0,129.41,1,63.46,408.29,966.99,0.32,0.02,950.64,398.48,664.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,1,689277284#2,0,0,133.33,1,73.92,47.82,47.87,0.14,0.01,47.27,44.03,42.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_2,0,168.53,0,11,689277281#7,7,7,84.26,11,34.67,28.38,307.09,1.25,0.09,278.97,25.27,128.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_2,0,133.33,0,11,689277286#0,0,0,133.33,11,50.96,5.28,59.79,1.89,0.14,51.68,3.27,17.00
2100.00,2160.00,e_r2ps_to_ach1_mgp_2,0,102.68,0,11,689277286#1,0,0,102.68,15,47.29,26.76,363.91,2.39,0.17,298.09,24.55,72.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,38.49,17,0,814259719,14,14,19.24,5,9.63,164.66,2390.82,6.32,0.33,1607.54,160.11,992.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,133.33,0,0,689277284#0,0,0,133.33,0,67.66,9285.18,660.00,0.01,0.00,659.68,8746.85,645.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,,0,0,689277288#0,0,0,,0,,,0.00,,,,,
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,1.13,0,0,689277288#1,0,0,1.13,1,0.49,61.38,5.74,1.46,0.10,5.13,104.84,0.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,86.32,0,2,689277288#2,0,0,86.32,7,40.90,73.15,399.51,1.12,0.08,365.88,69.52,32.34
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,201.14,0,21,881567591#0,1,1,100.57,22,48.00,37.22,810.52,1.94,0.23,620.68,36.01,183.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,193.93,0,23,881567591#1,1,1,96.97,22,44.98,22.20,500.23,2.16,0.26,366.13,20.52,111.00
2160.00,2220.00,e_r2ps_to_ach1_mgp_1,0,251.72,0,22,881567591#2,0,0,125.86,21,52.66,9.35,200.12,1.95,0.23,156.39,7.88,77.00
