interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
2160.00,2220.00,e_ccb_to_rp4,0,0,7,1136268465,1,1,8,673.65
2160.00,2220.00,e_ccb_to_rp4,0,0,8,190876198,0,0,8,295.91
2160.00,2220.00,e_ccb_to_rp4,0,0,9,28000507#1,0,0,8,109.67
2220.00,2280.00,e_ccb_to_rp4,0,0,4,102165688#0,0,0,15,1424.99
2220.00,2280.00,e_ccb_to_rp4,0,0,13,102165688#1,0,0,13,147.93
2220.00,2280.00,e_ccb_to_rp4,0,0,15,1136268465,5,5,17,598.35
2220.00,2280.00,e_ccb_to_rp4,0,0,19,190876198,1,1,19,248.05
2220.00,2280.00,e_ccb_to_rp4,0,0,19,28000507#1,1,1,20,88.26
2280.00,2340.00,e_ccb_to_rp4,0,0,16,102165688#0,0,0,2,1391.83
2280.00,2340.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,1,234.56
2280.00,2340.00,e_ccb_to_rp4,0,0,3,1136268465,3,3,2,554.10
2280.00,2340.00,e_ccb_to_rp4,0,0,3,190876198,0,0,2,349.02
2280.00,2340.00,e_ccb_to_rp4,0,0,3,28000507#1,0,0,2,116.18
2340.00,2400.00,e_ccb_to_rp4,0,0,1,102165688#0,0,0,11,1446.37
2340.00,2400.00,e_ccb_to_rp4,0,0,7,102165688#1,0,0,8,162.46
2340.00,2400.00,e_ccb_to_rp4,0,0,10,1136268465,4,4,9,557.34
2340.00,2400.00,e_ccb_to_rp4,0,0,7,190876198,0,0,9,243.57
2340.00,2400.00,e_ccb_to_rp4,0,0,7,28000507#1,0,0,7,114.21
2400.00,2460.00,e_ccb_to_rp4,0,0,12,102165688#0,0,0,4,1514.13
2400.00,2460.00,e_ccb_to_rp4,0,0,2,102165688#1,0,0,4,203.09
2400.00,2460.00,e_ccb_to_rp4,0,0,5,1136268465,7,7,8,574.26
2400.00,2460.00,e_ccb_to_rp4,0,0,9,190876198,1,1,9,235.74
2400.00,2460.00,e_ccb_to_rp4,0,0,10,28000507#1,0,0,10,108.53
