interval_begin,interval_end,interval_id,edge_arrived,edge_density,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_laneDensity,edge_left,edge_occupancy,edge_overlapTraveltime,edge_sampledSeconds,edge_speed,edge_speedRelative,edge_timeLoss,edge_traveltime,edge_waitingTime
2700.00,2760.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,8.49,0.78,11.68,6.99,0.50,5.14,0.14,1.00
2760.00,2820.00,e_rp2_to_rp3,1,22.26,0,16,542209565,13,13,11.13,16,5.41,21.58,330.83,11.71,0.84,45.99,20.83,4.00
2760.00,2820.00,e_rp2_to_rp3,0,266.67,0,14,136182032#1,0,0,133.33,14,6.54,0.60,8.29,8.86,0.64,2.67,0.04,0.00
2820.00,2880.00,e_rp2_to_rp3,0,23.46,0,15,542209565,10,10,11.73,16,5.69,21.99,348.72,11.49,0.83,50.84,21.22,3.00
2820.00,2880.00,e_rp2_to_rp3,0,266.67,0,18,136182032#1,0,0,133.33,18,8.36,0.59,10.64,9.04,0.65,2.93,0.03,0.00
2880.00,2940.00,e_rp2_to_rp3,1,22.02,0,15,542209565,7,7,11.01,13,5.35,22.95,327.28,11.01,0.79,63.79,22.21,4.00
2880.00,2940.00,e_rp2_to_rp3,0,266.67,0,11,136182032#1,0,0,133.33,11,6.50,0.85,9.38,6.22,0.45,4.76,0.23,1.00
2940.00,3000.00,e_rp2_to_rp3,0,19.80,0,14,542209565,11,11,9.90,16,4.82,20.17,294.35,12.53,0.90,32.95,19.58,0.00
2940.00,3000.00,e_rp2_to_rp3,1,266.67,0,16,136182032#1,0,0,133.33,15,6.74,0.57,8.57,9.35,0.67,2.38,0.03,0.00
3000.00,3060.00,e_rp2_to_rp3,0,19.41,0,14,542209565,11,11,9.70,13,4.71,20.21,288.48,12.51,0.90,33.79,19.58,1.00
3000.00,3060.00,e_rp2_to_rp3,0,266.67,0,15,136182032#1,0,0,133.33,15,6.09,0.52,7.73,10.28,0.74,1.76,0.03,0.00
