interval_begin,interval_end,interval_id,edge_arrived,edge_departed,edge_entered,edge_id,edge_laneChangedFrom,edge_laneChangedTo,edge_left,edge_sampledSeconds
1320.00,1380.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,13,23.20
1320.00,1380.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,14,350.07
1320.00,1380.00,e_rp4_to_rp3,0,0,11,22650422#3,0,0,15,592.22
1320.00,1380.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,15,29.02
1380.00,1440.00,e_rp4_to_rp3,0,0,20,22650422#0,0,0,19,23.83
1380.00,1440.00,e_rp4_to_rp3,0,0,20,22650422#1,0,0,20,35.52
1380.00,1440.00,e_rp4_to_rp3,0,0,20,22650422#2,0,0,21,201.23
1380.00,1440.00,e_rp4_to_rp3,0,0,18,22650422#3,0,0,16,444.35
1380.00,1440.00,e_rp4_to_rp3,0,0,17,22650422#4,0,0,16,38.76
1440.00,1500.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,15,15.16
1440.00,1500.00,e_rp4_to_rp3,0,0,15,22650422#1,0,0,15,25.66
1440.00,1500.00,e_rp4_to_rp3,0,0,15,22650422#2,0,0,15,163.71
1440.00,1500.00,e_rp4_to_rp3,0,0,14,22650422#3,0,0,16,470.41
1440.00,1500.00,e_rp4_to_rp3,0,0,15,22650422#4,0,0,16,31.88
1500.00,1560.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,13,21.23
1500.00,1560.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,13,23.86
1500.00,1560.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,13,119.08
1500.00,1560.00,e_rp4_to_rp3,0,0,13,22650422#3,0,0,15,305.38
1500.00,1560.00,e_rp4_to_rp3,0,0,16,22650422#4,0,0,15,32.66
1560.00,1620.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,15,24.86
1560.00,1620.00,e_rp4_to_rp3,0,0,15,22650422#1,0,0,15,29.75
1560.00,1620.00,e_rp4_to_rp3,0,0,15,22650422#2,0,0,15,145.59
1560.00,1620.00,e_rp4_to_rp3,0,0,13,22650422#3,0,0,14,335.53
1560.00,1620.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,15,28.52
1620.00,1680.00,e_rp4_to_rp3,0,0,15,22650422#0,0,0,15,30.21
1620.00,1680.00,e_rp4_to_rp3,0,0,15,22650422#1,0,0,14,28.73
1620.00,1680.00,e_rp4_to_rp3,0,0,14,22650422#2,0,0,16,155.90
1620.00,1680.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,12,150.39
1620.00,1680.00,e_rp4_to_rp3,0,0,11,22650422#4,0,0,11,22.90
1680.00,1740.00,e_rp4_to_rp3,0,0,9,22650422#0,0,0,9,19.67
1680.00,1740.00,e_rp4_to_rp3,0,0,9,22650422#1,0,0,10,18.26
1680.00,1740.00,e_rp4_to_rp3,0,0,10,22650422#2,0,0,8,82.35
1680.00,1740.00,e_rp4_to_rp3,0,0,8,22650422#3,0,0,9,127.56
1680.00,1740.00,e_rp4_to_rp3,0,0,10,22650422#4,0,0,10,23.88
1740.00,1800.00,e_rp4_to_rp3,0,0,17,22650422#0,0,0,17,37.39
1740.00,1800.00,e_rp4_to_rp3,0,0,17,22650422#1,0,0,16,32.31
1740.00,1800.00,e_rp4_to_rp3,0,0,16,22650422#2,0,0,15,143.52
1740.00,1800.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,11,98.46
1740.00,1800.00,e_rp4_to_rp3,0,0,11,22650422#4,0,0,10,20.83
1800.00,1860.00,e_rp4_to_rp3,0,0,17,22650422#0,0,0,16,25.49
1800.00,1860.00,e_rp4_to_rp3,0,0,17,22650422#1,1,1,17,28.98
1800.00,1860.00,e_rp4_to_rp3,0,0,17,22650422#2,0,0,19,164.44
1800.00,1860.00,e_rp4_to_rp3,0,0,16,22650422#3,0,0,14,253.02
1800.00,1860.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,14,31.10
1860.00,1920.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,12,24.95
1860.00,1920.00,e_rp4_to_rp3,0,0,12,22650422#1,0,0,13,27.32
1860.00,1920.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,14,135.06
1860.00,1920.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,12,285.27
1860.00,1920.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,24.17
1920.00,1980.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,15,18.95
1920.00,1980.00,e_rp4_to_rp3,0,0,14,22650422#1,0,0,14,25.63
1920.00,1980.00,e_rp4_to_rp3,0,0,14,22650422#2,0,0,13,135.36
1920.00,1980.00,e_rp4_to_rp3,0,0,14,22650422#3,0,0,12,343.77
1920.00,1980.00,e_rp4_to_rp3,0,0,11,22650422#4,0,0,12,34.67
1980.00,2040.00,e_rp4_to_rp3,0,0,12,22650422#0,0,0,12,37.45
1980.00,2040.00,e_rp4_to_rp3,0,0,13,22650422#1,0,0,12,26.81
1980.00,2040.00,e_rp4_to_rp3,0,0,12,22650422#2,0,0,11,128.06
1980.00,2040.00,e_rp4_to_rp3,0,0,11,22650422#3,0,0,12,327.92
1980.00,2040.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,12,30.85
2040.00,2100.00,e_rp4_to_rp3,0,0,16,22650422#0,0,0,16,35.63
2040.00,2100.00,e_rp4_to_rp3,0,0,15,22650422#1,0,0,16,31.58
2040.00,2100.00,e_rp4_to_rp3,0,0,16,22650422#2,0,0,17,162.41
2040.00,2100.00,e_rp4_to_rp3,0,0,14,22650422#3,0,0,14,252.07
2040.00,2100.00,e_rp4_to_rp3,0,0,13,22650422#4,0,0,14,31.54
2100.00,2160.00,e_rp4_to_rp3,0,0,13,22650422#0,0,0,13,34.93
2100.00,2160.00,e_rp4_to_rp3,0,0,14,22650422#1,0,0,13,26.41
2100.00,2160.00,e_rp4_to_rp3,0,0,13,22650422#2,0,0,12,111.82
2100.00,2160.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,13,247.74
2100.00,2160.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,13,27.59
2160.00,2220.00,e_rp4_to_rp3,0,0,19,22650422#0,0,0,19,37.06
2160.00,2220.00,e_rp4_to_rp3,0,0,18,22650422#1,0,0,19,37.59
2160.00,2220.00,e_rp4_to_rp3,0,0,19,22650422#2,0,0,18,201.30
2160.00,2220.00,e_rp4_to_rp3,0,0,16,22650422#3,0,0,14,252.30
2160.00,2220.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,15,33.06
2220.00,2280.00,e_rp4_to_rp3,0,0,8,22650422#0,0,0,8,12.43
2220.00,2280.00,e_rp4_to_rp3,0,0,9,22650422#1,0,0,9,16.62
2220.00,2280.00,e_rp4_to_rp3,0,0,9,22650422#2,0,0,11,99.27
2220.00,2280.00,e_rp4_to_rp3,0,0,10,22650422#3,0,0,14,273.44
2220.00,2280.00,e_rp4_to_rp3,0,0,14,22650422#4,0,0,14,28.81
2280.00,2340.00,e_rp4_to_rp3,0,0,19,22650422#0,0,0,19,32.61
2280.00,2340.00,e_rp4_to_rp3,0,0,19,22650422#1,0,0,19,36.21
2280.00,2340.00,e_rp4_to_rp3,0,0,19,22650422#2,0,0,16,171.05
2280.00,2340.00,e_rp4_to_rp3,0,0,12,22650422#3,0,0,12,107.69
2280.00,2340.00,e_rp4_to_rp3,0,0,12,22650422#4,0,0,12,22.46
2340.00,2400.00,e_rp4_to_rp3,0,0,14,22650422#0,0,0,14,24.82
