interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1080.00,1140.00,0.00,z_r2pn_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,15.71,2,0.00,0.00,0.00,0.00,4.49,10.14,0.87,0.73,7,6,8,37.65,0.00
1140.00,1200.00,165.00,z_r2pn_to_rp1_0,108.00,792.28,112,40.00,16.00,38.82,5,17.91,8,11.79,7.71,13.20,1.87,11.50,6.72,14.06,5.35,9,12,14,311.98,13.00
1140.00,1200.00,1.00,z_r2pn_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,22.46,3,1.00,1.00,0.00,0.00,4.86,9.12,1.43,0.80,7,9,9,42.30,1.00
1200.00,1260.00,65.00,z_r2pn_to_rp1_0,60.00,433.06,57,34.00,34.00,23.74,3,9.85,4,16.25,15.00,7.22,0.95,5.51,8.12,9.98,2.23,5,3,7,128.03,3.00
1200.00,1260.00,10.00,z_r2pn_to_rp1_1,10.00,44.39,9,10.00,10.00,4.94,1,20.45,3,10.00,10.00,0.74,0.15,6.06,8.20,3.26,0.93,6,6,6,50.22,1.00
1260.00,1320.00,179.00,z_r2pn_to_rp1_0,119.00,828.64,115,48.00,30.00,31.25,4,12.11,5,25.57,17.00,13.81,1.92,7.38,5.03,17.80,3.30,4,6,8,193.81,4.00
1260.00,1320.00,1.00,z_r2pn_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,23.57,3,1.00,1.00,0.00,0.00,5.77,9.29,1.72,0.92,8,8,8,49.63,1.00
1320.00,1380.00,231.00,z_r2pn_to_rp1_0,225.00,1405.24,197,27.00,24.00,56.01,7,21.20,10,7.70,7.50,22.92,3.18,15.28,4.47,22.99,6.63,11,5,13,391.62,28.00
1320.00,1380.00,1.00,z_r2pn_to_rp1_1,1.00,34.69,7,1.00,1.00,5.00,1,15.71,2,1.00,1.00,0.58,0.12,4.25,7.80,3.02,0.58,5,5,5,33.32,2.00
1380.00,1440.00,164.00,z_r2pn_to_rp1_0,145.00,746.16,107,9.00,9.00,29.81,4,34.35,14,3.73,3.29,11.64,1.63,21.58,6.32,12.70,9.18,19,19,27,535.59,38.00
1380.00,1440.00,4.00,z_r2pn_to_rp1_1,4.00,0.00,0,1.00,1.00,0.00,0,19.01,2,1.00,1.00,0.00,0.00,6.14,8.60,1.57,0.95,12,10,12,50.17,4.00
1440.00,1500.00,329.00,z_r2pn_to_rp1_0,321.00,2375.82,306,43.00,43.00,63.41,8,23.70,10,19.35,18.88,39.52,5.08,18.72,2.84,28.58,8.02,6,5,14,475.03,15.00
1440.00,1500.00,128.00,z_r2pn_to_rp1_1,127.00,898.13,118,38.00,38.00,31.37,4,43.83,6,12.80,12.70,14.97,1.97,22.21,1.72,18.81,2.97,6,4,8,172.62,9.00
1500.00,1560.00,779.00,z_r2pn_to_rp1_0,521.00,3718.58,485,47.00,33.00,91.79,12,36.60,15,17.70,11.84,59.73,7.72,28.82,2.01,33.49,12.02,10,5,19,713.27,37.00
1500.00,1560.00,30.00,z_r2pn_to_rp1_1,24.00,136.72,21,5.00,5.00,20.44,3,34.72,4,3.75,3.00,2.28,0.35,11.12,4.14,6.19,1.45,5,6,9,82.40,6.00
1560.00,1620.00,469.00,z_r2pn_to_rp1_0,440.00,2855.60,388,18.00,18.00,82.28,11,33.40,14,7.56,7.10,41.42,5.50,26.27,1.83,33.44,11.27,4,6,18,671.11,57.00
