interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1560.00,1620.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,9.72,5,1.00,1.00,0.00,0.00,5.55,12.34,1.67,3.12,9,11,13,180.09,1.00
1620.00,1680.00,3.00,z_rp2_to_rp3_1,2.00,0.00,0,1.00,1.00,0.00,0,9.77,6,1.00,0.67,0.00,0.00,7.36,11.91,1.27,4.05,22,21,26,229.76,2.00
1620.00,1680.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,11.66,6,1.00,1.00,0.00,0.00,7.07,11.96,1.90,3.92,14,12,16,226.43,1.00
1680.00,1740.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,3.61,11.99,0.93,2.13,15,19,20,116.41,0.00
1680.00,1740.00,14.00,z_rp2_to_rp3_2,14.00,52.88,9,4.00,4.00,12.70,2,9.72,5,2.80,2.80,0.88,0.15,5.41,10.31,3.44,2.95,10,12,14,174.15,5.00
1740.00,1800.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,5.53,11.94,0.86,3.02,18,16,19,172.57,0.00
1740.00,1800.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,6,0.00,0.00,0.00,0.00,5.56,12.47,1.27,3.08,11,12,13,179.53,0.00
1800.00,1860.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,7.68,4,1.00,1.00,0.00,0.00,3.31,11.52,0.73,1.90,18,20,21,104.49,1.00
1800.00,1860.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,10.53,5,0.00,0.00,0.00,0.00,6.02,11.58,1.22,3.13,14,11,15,183.25,0.00
1860.00,1920.00,0.00,z_rp2_to_rp3_1,0.00,20.00,4,0.00,0.00,5.00,1,9.71,5,0.00,0.00,0.33,0.07,3.93,11.37,0.96,2.17,20,19,21,122.54,1.00
1860.00,1920.00,2.00,z_rp2_to_rp3_2,2.00,5.00,1,2.00,2.00,5.00,1,8.59,5,2.00,2.00,0.08,0.02,5.25,11.26,1.40,2.90,13,14,17,167.89,1.00
1920.00,1980.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,9.71,6,1.00,1.00,0.00,0.00,5.48,11.23,1.51,3.07,19,19,21,173.29,1.00
1920.00,1980.00,6.00,z_rp2_to_rp3_2,6.00,10.00,2,2.00,2.00,5.00,1,11.66,6,1.50,1.50,0.17,0.03,6.95,11.60,3.01,3.78,11,13,14,222.77,4.00
1980.00,2040.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.86,6,0.00,0.00,0.00,0.00,4.52,12.80,0.72,2.57,21,21,23,141.06,0.00
1980.00,2040.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,6.55,11.74,1.85,3.57,13,11,14,209.34,0.00
2040.00,2100.00,6.00,z_rp2_to_rp3_1,6.00,18.94,4,3.00,3.00,5.00,1,9.71,5,3.00,3.00,0.32,0.07,5.53,11.75,1.20,3.07,20,20,22,172.04,2.00
2040.00,2100.00,7.00,z_rp2_to_rp3_2,7.00,20.00,4,4.00,4.00,5.00,1,11.66,6,2.33,2.33,0.33,0.07,8.06,11.31,2.50,4.38,14,13,17,258.47,3.00
2100.00,2160.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.95,11.48,0.88,2.25,20,18,22,123.76,0.00
2100.00,2160.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,11.66,6,1.00,1.00,0.00,0.00,6.27,12.29,1.49,3.42,12,12,16,202.00,1.00
2160.00,2220.00,2.00,z_rp2_to_rp3_1,2.00,5.00,1,2.00,2.00,5.00,1,9.71,5,2.00,2.00,0.08,0.02,5.78,12.00,1.26,3.22,18,19,22,180.68,1.00
2160.00,2220.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,11.66,6,1.00,1.00,0.00,0.00,6.76,11.98,1.46,3.70,12,12,16,217.91,1.00
2220.00,2280.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,11.65,7,0.00,0.00,0.00,0.00,6.63,11.83,1.40,3.72,19,19,22,210.27,0.00
2220.00,2280.00,2.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,10.84,6,1.00,0.50,0.00,0.00,5.98,11.19,2.08,3.30,9,12,13,193.54,1.00
2280.00,2340.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,9.71,6,1.00,1.00,0.00,0.00,4.98,11.96,1.12,2.77,15,14,18,156.07,1.00
2280.00,2340.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,5.83,3,0.00,0.00,0.00,0.00,2.89,13.24,1.07,1.57,6,5,7,93.02,0.00
2340.00,2400.00,1.00,z_rp2_to_rp3_1,1.00,0.00,0,1.00,1.00,0.00,0,11.65,6,1.00,1.00,0.00,0.00,6.24,11.68,1.18,3.63,26,28,30,200.78,1.00
2340.00,2400.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,11.66,6,0.00,0.00,0.00,0.00,8.07,12.46,1.50,4.42,17,16,19,257.34,0.00
2400.00,2460.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,4.49,11.98,0.99,2.55,18,19,20,143.38,0.00
2400.00,2460.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,7.77,5,0.00,0.00,0.00,0.00,5.79,12.10,1.35,3.18,11,12,14,186.21,0.00
2460.00,2520.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,11.65,6,0.00,0.00,0.00,0.00,7.27,11.99,1.09,3.93,24,21,25,223.97,0.00
2460.00,2520.00,5.00,z_rp2_to_rp3_2,5.00,10.00,2,3.00,3.00,5.00,1,12.21,7,1.67,1.67,0.17,0.03,7.33,11.58,2.49,4.07,14,13,16,237.62,3.00
2520.00,2580.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.90,6,0.00,0.00,0.00,0.00,6.27,11.92,0.99,3.53,23,22,27,196.56,0.00
2520.00,2580.00,4.00,z_rp2_to_rp3_2,4.00,15.00,3,4.00,4.00,5.00,1,11.66,6,4.00,4.00,0.25,0.05,7.11,11.56,1.73,3.95,15,15,18,230.47,1.00
2580.00,2640.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,5,0.00,0.00,0.00,0.00,4.83,12.40,0.58,2.72,22,24,27,150.00,0.00
2580.00,2640.00,1.00,z_rp2_to_rp3_2,1.00,0.00,0,1.00,1.00,0.00,0,11.66,6,1.00,1.00,0.00,0.00,7.42,12.04,1.08,4.10,18,16,21,239.21,1.00
2640.00,2700.00,2.00,z_rp2_to_rp3_1,2.00,5.00,1,2.00,2.00,5.00,1,15.53,8,2.00,2.00,0.08,0.02,9.23,11.13,2.36,5.10,20,20,23,288.36,2.00
2640.00,2700.00,8.00,z_rp2_to_rp3_2,7.00,15.00,3,2.00,2.00,5.00,1,11.66,6,1.60,1.40,0.25,0.05,5.97,11.27,2.47,3.30,10,13,15,191.34,4.00
2700.00,2760.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.71,5,0.00,0.00,0.00,0.00,5.42,11.82,0.63,2.85,19,19,22,162.69,0.00
2700.00,2760.00,3.00,z_rp2_to_rp3_2,3.00,5.00,1,2.00,2.00,5.00,1,11.66,6,1.50,1.50,0.08,0.02,6.28,11.34,1.79,3.50,15,13,17,203.76,2.00
2760.00,2820.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,9.01,5,0.00,0.00,0.00,0.00,4.60,12.31,0.71,2.60,18,18,21,144.21,0.00
2760.00,2820.00,8.00,z_rp2_to_rp3_2,8.00,30.00,6,5.00,5.00,5.00,1,10.00,6,4.00,4.00,0.50,0.10,6.36,11.01,2.47,3.48,11,9,15,203.00,2.00
2820.00,2880.00,4.00,z_rp2_to_rp3_1,4.00,15.00,3,4.00,4.00,5.00,1,7.77,5,4.00,4.00,0.25,0.05,4.75,11.66,1.28,2.65,16,16,19,149.33,1.00
2820.00,2880.00,3.00,z_rp2_to_rp3_2,3.00,5.00,1,2.00,2.00,5.00,1,11.66,6,1.50,1.50,0.08,0.02,6.78,11.11,2.05,3.82,10,14,16,220.12,2.00
2880.00,2940.00,18.00,z_rp2_to_rp3_1,18.00,78.71,12,5.00,5.00,16.15,2,11.65,6,3.00,3.00,1.31,0.20,6.42,9.69,3.20,3.47,15,13,18,198.67,6.00
2880.00,2940.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,9.72,5,0.00,0.00,0.00,0.00,4.56,12.25,1.67,2.50,7,6,9,146.30,0.00
2940.00,3000.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,11.34,6,0.00,0.00,0.00,0.00,5.34,11.67,1.10,2.95,15,18,20,166.35,0.00
2940.00,3000.00,0.00,z_rp2_to_rp3_2,0.00,0.00,0,0.00,0.00,0.00,0,8.11,5,0.00,0.00,0.00,0.00,4.42,13.14,1.21,2.48,10,10,13,144.63,0.00
3000.00,3060.00,0.00,z_rp2_to_rp3_1,0.00,0.00,0,0.00,0.00,0.00,0,7.77,4,0.00,0.00,0.00,0.00,3.50,12.22,0.75,1.98,15,15,17,110.06,0.00
3000.00,3060.00,2.00,z_rp2_to_rp3_2,2.00,5.00,1,2.00,2.00,5.00,1,9.72,5,2.00,2.00,0.08,0.02,5.97,12.49,1.75,3.35,11,11,14,192.98,1.00
3060.00,3120.00,16.00,z_rp2_to_rp3_1,16.00,67.30,11,5.00,5.00,13.87,2,9.71,5,3.20,3.20,1.12,0.18,5.71,11.02,2.08,3.05,17,14,19,175.19,5.00
3060.00,3120.00,24.00,z_rp2_to_rp3_2,22.00,112.34,18,9.00,9.00,16.16,2,9.72,5,4.80,4.40,1.87,0.30,5.93,10.32,3.37,3.27,11,11,14,191.13,4.00
3120.00,3180.00,7.00,z_rp2_to_rp3_1,4.00,10.00,2,2.00,2.00,5.00,1,9.71,5,1.75,1.00,0.17,0.03,6.33,11.32,1.51,3.58,19,24,24,200.83,2.00
3120.00,3180.00,20.00,z_rp2_to_rp3_2,14.00,35.00,7,4.00,3.00,5.00,1,13.60,7,2.22,1.55,0.58,0.12,7.05,10.45,3.25,3.83,13,9,16,224.54,7.00
3180.00,3240.00,2.00,z_rp2_to_rp3_1,2.00,0.00,0,1.00,1.00,0.00,0,13.46,7,1.00,1.00,0.00,0.00,6.34,11.70,1.40,3.45,21,19,21,196.97,2.00
3180.00,3240.00,4.00,z_rp2_to_rp3_2,4.00,5.00,1,2.00,2.00,5.00,1,13.31,7,1.33,1.33,0.08,0.02,7.40,10.38,2.21,4.13,14,19,21,241.22,3.00
