interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
1200.00,1260.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,3.38,7,0.00,0.00,0.00,0.00,2.61,19.12,0.93,5.53,13,11,18,329.15,0.00
1260.00,1320.00,2500.00,z_r2ps_to_ach1_mgp,1785.00,16868.09,1677,129.00,60.00,507.48,31,18.44,56,18.38,13.12,252.49,23.82,16.09,5.10,27.41,48.83,37,21,76,2924.18,112.00
1260.00,1320.00,3734.00,z_sl_rp1_to_ach1_mgp,1340.00,8219.29,1144,188.00,52.00,147.89,20,53.30,42,16.59,5.96,94.61,12.95,48.66,1.73,32.77,38.33,19,24,59,2291.81,205.00
1260.00,1320.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,6.28,13,0.00,0.00,0.00,0.00,3.53,17.72,1.07,7.40,22,16,29,442.48,0.00
1320.00,1380.00,2811.00,z_r2ps_to_ach1_mgp,1450.00,11601.43,1292,112.00,29.00,372.66,24,18.97,58,15.11,7.79,155.77,16.17,18.06,5.42,28.17,54.80,23,21,78,3279.58,158.00
1320.00,1380.00,1798.00,z_sl_rp1_to_ach1_mgp,1720.00,12374.31,1592,45.00,45.00,211.48,26,57.46,44,11.53,11.03,119.21,15.32,51.88,1.25,38.93,40.08,20,11,55,2397.76,140.00
1320.00,1380.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,6.60,14,0.00,0.00,0.00,0.00,5.14,17.96,1.61,10.95,20,25,33,649.09,0.00
1380.00,1440.00,1332.00,z_r2ps_to_ach1_mgp,1078.00,6707.79,916,28.00,28.00,148.16,20,19.38,59,7.12,5.76,84.96,11.50,18.09,5.98,27.03,54.93,19,23,76,3284.21,162.00
1380.00,1440.00,1900.00,z_sl_rp1_to_ach1_mgp,1563.00,10772.16,1453,81.00,60.00,173.57,23,57.45,44,12.26,10.08,139.99,18.88,50.11,1.48,35.47,39.02,12,17,56,2332.40,118.00
1380.00,1440.00,0.00,z_r2ps_to_sl_rp1,0.00,0.00,0,0.00,0.00,0.00,0,5.80,12,0.00,0.00,0.00,0.00,4.16,18.65,1.37,8.83,14,17,22,525.31,0.00
1440.00,1500.00,2633.00,z_r2ps_to_ach1_mgp,2280.00,21521.45,2153,88.00,60.00,515.34,36,17.97,54,16.35,14.16,324.28,31.28,17.12,2.76,37.44,51.83,15,16,68,3104.54,129.00
1440.00,1500.00,2990.00,z_sl_rp1_to_ach1_mgp,1707.00,12056.02,1603,138.00,60.00,158.25,21,57.89,45,22.31,12.74,137.25,18.38,52.00,1.32,36.62,40.60,19,13,58,2428.72,110.00
