interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
2100.00,2160.00,3.00,z_ach1_mgp_to_rp1_1,3.00,0.00,0,1.00,1.00,0.00,0,26.88,11,1.00,1.00,0.00,0.00,19.75,8.55,5.21,8.62,21,22,29,494.59,3.00
2100.00,2160.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2160.00,2220.00,4.00,z_ach1_mgp_to_rp1_1,4.00,10.00,2,2.00,2.00,5.00,1,25.63,10,2.00,2.00,0.17,0.03,13.28,8.51,5.53,5.53,10,12,17,320.78,2.00
2160.00,2220.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.20,12.29,0.56,0.08,1,1,1,4.97,0.00
2220.00,2280.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,22.14,9,1.00,1.00,0.00,0.00,15.57,8.94,3.60,6.78,19,15,24,389.64,1.00
2220.00,2280.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2280.00,2340.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,24.60,10,0.00,0.00,0.00,0.00,19.33,8.97,3.77,8.47,22,21,31,485.59,0.00
2280.00,2340.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2340.00,2400.00,8.00,z_ach1_mgp_to_rp1_1,8.00,32.98,5,3.00,3.00,18.14,2,23.44,11,2.67,2.67,0.55,0.08,16.14,9.07,3.72,7.12,17,21,27,407.35,3.00
2340.00,2400.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,2.44,1,0.00,0.00,0.00,0.00,0.12,10.95,0.19,0.05,2,2,2,1.65,0.00
2400.00,2460.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,17.22,7,0.00,0.00,0.00,0.00,11.32,9.69,2.37,5.00,14,13,20,284.31,0.00
2400.00,2460.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2460.00,2520.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,21.08,9,0.00,0.00,0.00,0.00,16.67,9.33,3.14,7.37,20,19,27,419.15,0.00
2460.00,2520.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2520.00,2580.00,1.00,z_ach1_mgp_to_rp1_1,1.00,0.00,0,1.00,1.00,0.00,0,24.60,10,1.00,1.00,0.00,0.00,16.85,9.20,3.93,7.37,17,18,25,423.74,1.00
2520.00,2580.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,-1.00,-1.00,0.00,0,0,0,0.00,0.00
2580.00,2640.00,6.00,z_ach1_mgp_to_rp1_1,6.00,20.00,4,5.00,5.00,5.00,1,15.79,7,3.00,3.00,0.33,0.07,10.49,8.89,3.25,4.57,13,14,20,259.36,2.00
2580.00,2640.00,0.00,z_ach1_mgp_to_rp1_2,0.00,0.00,0,0.00,0.00,0.00,0,3.46,1,0.00,0.00,0.00,0.00,0.06,6.45,0.04,0.02,1,1,1,0.07,0.00
2640.00,2700.00,0.00,z_ach1_mgp_to_rp1_1,0.00,0.00,0,0.00,0.00,0.00,0,23.45,10,0.00,0.00,0.00,0.00,12.83,9.44,3.86,5.57,13,14,19,320.52,0.00
