interval_begin,interval_end,interval_haltingDurationSum,interval_id,interval_intervalHaltingDurationSum,interval_jamLengthInMetersSum,interval_jamLengthInVehiclesSum,interval_maxHaltingDuration,interval_maxIntervalHaltingDuration,interval_maxJamLengthInMeters,interval_maxJamLengthInVehicles,interval_maxOccupancy,interval_maxVehicleNumber,interval_meanHaltingDuration,interval_meanIntervalHaltingDuration,interval_meanMaxJamLengthInMeters,interval_meanMaxJamLengthInVehicles,interval_meanOccupancy,interval_meanSpeed,interval_meanTimeLoss,interval_meanVehicleNumber,interval_nVehEntered,interval_nVehLeft,interval_nVehSeen,interval_sampledSeconds,interval_startedHalts
2880.00,2940.00,1413.00,z_plsr_to_rp1,1228.00,10702.12,1214,67.00,60.00,207.20,23,55.41,23,41.56,36.12,176.37,19.95,52.02,0.24,55.41,21.65,2,3,23,1297.46,14.00
2940.00,3000.00,1200.00,z_plsr_to_rp1,665.00,5113.82,593,70.00,25.00,125.76,14,48.23,21,13.64,7.56,62.95,7.00,41.23,1.83,31.79,17.35,8,9,28,1031.58,72.00
3000.00,3060.00,1178.00,z_plsr_to_rp1,1067.00,10277.54,1051,61.00,60.00,190.81,19,45.82,19,36.81,33.34,167.60,16.98,45.48,0.27,52.94,18.93,2,2,21,1134.08,16.00
3060.00,3120.00,1598.00,z_plsr_to_rp1,1196.00,11284.62,1182,70.00,60.00,207.24,22,53.00,22,55.10,41.24,185.12,19.28,49.87,0.16,55.75,20.72,3,0,22,1241.48,14.00
3120.00,3180.00,1967.00,z_plsr_to_rp1,757.00,6631.39,719,88.00,42.00,207.19,22,53.00,22,32.78,12.62,107.73,11.57,43.82,1.55,34.63,18.47,6,10,28,1098.96,38.00
3180.00,3240.00,947.00,z_plsr_to_rp1,906.00,7747.30,865,31.00,31.00,177.61,19,49.19,21,18.21,17.42,120.29,13.10,46.42,0.89,42.99,19.32,7,6,25,1152.11,41.00
3240.00,3300.00,916.00,z_plsr_to_rp1,612.00,4527.55,551,30.00,25.00,114.81,14,48.23,20,12.05,8.05,63.05,7.63,40.88,2.09,37.77,17.22,4,11,23,1025.46,61.00
3300.00,3360.00,996.00,z_plsr_to_rp1,985.00,9231.61,949,59.00,58.00,200.92,21,52.45,22,24.90,24.62,141.63,14.35,44.84,0.64,46.24,18.70,11,1,23,1117.46,36.00
3360.00,3420.00,1820.00,z_plsr_to_rp1,1198.00,10445.51,1165,54.00,52.00,207.34,23,54.99,23,34.34,22.60,164.94,18.05,51.97,0.33,53.00,21.77,2,2,24,1304.82,33.00
3420.00,3480.00,2050.00,z_plsr_to_rp1,1213.00,10931.84,1186,91.00,56.00,207.34,22,52.57,22,41.84,24.75,171.03,18.22,51.30,0.23,55.24,21.57,1,2,23,1292.56,27.00
